Participant	Sex	Digit Ratio	Intuitive Physics Test	RT_same_0	RT_same_20	RT_same_40	RT_same_60	RT_same_80	RT_same_100	RT_same_120	RT_diff_0	RT_diff_20	RT_diff_40	RT_diff_60	RT_diff_80	RT_diff_100	RT_diff_120	Acc_same_0	Acc_same_20	Acc_same_40	Acc_same_60	Acc_same_80	Acc_same_100	Acc_same_120	Acc_diff_0	Acc_diff_20	Acc_diff_40	Acc_diff_60	Acc_diff_80	Acc_diff_100	Acc_diff_120
17513	2	0.97	9	1052	1679	2084	2443	2348	2696	3030	3130	2977	2018	3189	2405	3031	3635	100	84	78	59	48	59	38	69	72	50	56	59	75	50
17515	2	1.02	11	1386	1930	2506	2209	2595	2885	2800	1984	3210	2881	3025	2940	2960	2669	100	94	88	100	87	84	94	97	91	97	97	78	84	78
17517	2	0.99	11	1315	1591	2029	1829	2445	2370	2808	1682	2109	1958	2741	1907	3108	3086	100	100	97	100	94	94	88	100	100	97	100	100	94	97
23414	2	0.93	17	1387	1644	2229	1950	2573	2394	2722	1675	2049	1868	2426	2333	2645	2871	100	100	97	94	87	100	100	100	100	88	91	91	97	91
26410	2	0.96	10	1323	1566	1794	1925	2305	2660	2808	1554	2511	3110	4667	3364	2755	4159	97	97	88	91	93	84	84	97	100	100	88	94	97	94
26414	2	1.01	9	2636	2615	2350	2836	2935	3430	4260	4566	4564	6094	5980	5997	5928	6733	97	97	84	88	90	88	91	94	94	94	94	94	81	81
26417	2	0.99	9	1668	2365	2622	2439	3088	3910	4939	2010	2574	3149	3216	3735	4825	4483	100	100	100	97	100	97	91	100	100	100	100	97	97	100
30511	2	1.01	14	1053	1302	1449	1530	1871	1832	2022	1989	1571	2461	2002	2042	1861	1889	100	97	94	78	90	100	78	97	100	97	94	91	100	94
30513	2	0.94	7	1214	1742	1947	2060	2317	2874	2718	1547	2274	2367	2793	3222	3605	3626	100	100	100	100	94	94	81	100	100	91	91	94	94	91
30515	2	1.01	13	1011	1365	1277	1298	1609	1953	1882	1213	1354	1867	1555	1579	1643	1766	97	91	94	88	97	78	72	100	88	81	66	78	72	75
30517	2	0.96	11	1658	1964	2679	1842	2396	3752	3388	2595	2593	3491	3307	3945	3622	3572	100	100	97	97	94	97	84	100	97	100	97	94	88	100
30518	2	0.96	12	983	1221	1419	1674	1371	1281	1480	1518	1538	1351	1528	1608	1723	1698	94	94	88	91	97	81	63	97	88	84	97	91	84	91
